Learning_Rate,Batch_Size,Metric,Test_Used,p_value,Best_Method,Best_Mean,Significant,Second_Best,Mean_Difference
0.0001,32.0,Train_MCC,Kruskal-Wallis,0.00091,GGAR,0.9998,True,Adaptive,0.0
0.0001,32.0,Val_Accuracy,Kruskal-Wallis,0.00033,GGAR,0.9999,True,FixedL1,0.0
0.0001,32.0,Val_Precision,Kruskal-Wallis,0.00029,GGAR,0.9999,True,Adaptive,0.0
0.0001,32.0,Val_Recall,Kruskal-Wallis,0.00044,FixedL1,0.9999,True,GGAR,0.0
0.0001,32.0,Val_F1,Kruskal-Wallis,0.00027,GGAR,0.9999,True,FixedL1,0.0
0.0001,32.0,Val_MCC,Kruskal-Wallis,0.0004,GGAR,0.9998,True,FixedL1,0.0
0.0001,32.0,Test_Accuracy,Kruskal-Wallis,9e-05,Adaptive,0.9999,True,GGAR,0.0
0.0001,32.0,Test_Precision,Kruskal-Wallis,6e-05,Adaptive,0.9999,True,GGAR,0.0
0.0001,32.0,Test_Recall,Kruskal-Wallis,5e-05,FixedL1,0.9999,True,GGAR,0.0
0.0001,32.0,Test_F1,Kruskal-Wallis,5e-05,Adaptive,0.9999,True,GGAR,0.0
0.0001,32.0,Test_MCC,Kruskal-Wallis,7e-05,Adaptive,0.9998,True,GGAR,0.0
0.0001,64.0,Train_Accuracy,Kruskal-Wallis,0.0,GGAR,1.0,True,Adaptive,0.0002
0.0001,64.0,Train_Precision,Kruskal-Wallis,0.0,GGAR,1.0,True,Adaptive,0.0002
0.0001,64.0,Train_Recall,Kruskal-Wallis,0.0,GGAR,1.0,True,Adaptive,0.0002
0.0001,64.0,Train_F1,Kruskal-Wallis,0.0,GGAR,1.0,True,Adaptive,0.0002
0.0001,64.0,Train_MCC,Kruskal-Wallis,0.0,GGAR,1.0,True,Adaptive,0.0002
0.0001,64.0,Val_Accuracy,Kruskal-Wallis,1e-05,GGAR,1.0,True,Adaptive,0.0002
0.0001,64.0,Val_Precision,Kruskal-Wallis,2e-05,GGAR,1.0,True,Adaptive,0.0002
0.0001,64.0,Val_Recall,Kruskal-Wallis,2e-05,GGAR,1.0,True,Adaptive,0.0002
0.0001,64.0,Val_F1,Kruskal-Wallis,2e-05,GGAR,1.0,True,Adaptive,0.0002
0.0001,64.0,Val_MCC,Kruskal-Wallis,1e-05,GGAR,1.0,True,Adaptive,0.0002
0.0001,64.0,Test_Accuracy,Kruskal-Wallis,0.0,GGAR,1.0,True,FixedL1,0.0002
0.0001,64.0,Test_Precision,Kruskal-Wallis,0.0,GGAR,1.0,True,FixedL1,0.0003
0.0001,64.0,Test_Recall,Kruskal-Wallis,0.0,GGAR,1.0,True,Adaptive,0.0002
0.0001,64.0,Test_F1,Kruskal-Wallis,0.0,GGAR,1.0,True,FixedL1,0.0003
0.0001,64.0,Test_MCC,Kruskal-Wallis,0.0,GGAR,1.0,True,FixedL1,0.0003
